pub_year,record_type,confidence,identifier,title,creator,publisher,subject,language,ia_url,description,collection
1802,bilingual_edition,100,eutropiihistori01clargoog,"Eutropii historiae Romanae breviarium : cum versione Anglica, in qua verbum de verbo exprimitur, notis quoque & indice, or = Eutropius's compendius history of Rome : together with an English translation, as literal as possible, notes, and an index","Eutropius, 4th cent; Clarke, John, 1687-1734; Shoemaker, William Lukens, b. 1822, former owner. DLC","Worcester : Printed by I. Thomas, Jun.",,eng; lat,https://archive.org/details/eutropiihistori01clargoog,"Book digitized by Google from the library of the New York Public Library and uploaded to the Internet Archive by user tpb.; Printed in two columns with Latin and English translation side by side; Includes index; LC copy has stamp on t.p. verso: Gift, W.L. Shoemaker, 7 S. '06; ms. inscription on leaf preceding t.p.: Smith Pyne, Charleston, So. Carolina",americana; fav-erivaldo_gabriel; fav-seneca_aurelius
1850,bilingual_edition,100,newcompletegreek00malt,"A new and complete Greek gradus : or, poetical lexicon of the Greek language : with a Latin and English translation, an English-Greek vocabulary, and a treatise on some of the principal rules for ascertaining the quantity of syllables and on the most popular Greek metres","Maltby, Edward, 1770-1859","London : Longman, Brown","Greek language; Dictionaries, Polyglot",eng; grc; lat,https://archive.org/details/newcompletegreek00malt,"xxiii, 830 p. ; 23 cm",library_of_congress; americana; fav-clavius; fav-floura28zz; fav-h_y_leung; fav-hawkseked222; fav-laosonline; fav-nicodemus9; fav-phaedo; fav-twixst_quality
1864,bilingual_edition,100,kingalfredsanglo00boet,"King Alfred's Anglo-Saxon version of Boethius De consolatione philosophiae: with a literal English translation, notes, and glossary","Boethius, d. 524; Alfred, King of England, 849-899; Fox, Samuel, 1801-1870; Tupper, Martin Farquhar, 1810-1889; Boethius, d. 524. King Alfred's Anglo-Saxon version of Boethius De consolatione philosophiae","London, H. G. Bohn",,eng; ang; lat,https://archive.org/details/kingalfredsanglo00boet,"Anglo-saxon and English on opposite pages; ""The Anglo-Saxon version of The metres of Boethius, with an English free translation, by Martin F. Tupper"": p. [263]-352; 27",pimslibrary; toronto; university_of_toronto; fav-allenqu; fav-aslilp; fav-gillian2727; fav-jermaine296; fav-joe_mansour; fav-tungelsteorna
1867,bilingual_edition,100,TheHymnOfHildebert,"The hymn of Hildebert, and other medieval hymns","Hildebert, Archbishop of Tours, 1056?-1133; Benedict, Erastus Cornelius, 1800-1880",New York : Anson D.F. Randolf,"Catholic Church -- Hymns; Hymns, Latin -- Translations into English; Hymns, Latin; Catholic Church",eng; Latin,https://archive.org/details/TheHymnOfHildebert,"Digitized by Google.; Latin and English on opposite pages; Includes index; Print version record; Electronic reproduction; Master and use copy. Digital master created according to Benchmark for Faithful Digital Reproductions of Monographs and Serials, Version 1. Digital Library Federation, December 2002; digitized",catholictexts; additional_collections; fav-flylex; fav-raul_orlando_arreguin_rosales; fav-rmcp
1870,translation,100,ODESANDEPODESHORACE,The odes and epodes of Horace,Horace,New York: Harper & Brothers,Laudatory poetry; Latin Translations into English,eng;lat,https://archive.org/details/ODESANDEPODESHORACE,"1 preliminary leaf xxxv pages, 1 leaf, [39]-521, [2]; 20 cm; English and Latin on opposite pages",printcollection; universityofvictorialibraries; toronto; fav-antoinette_dervan; fav-antonyliber; fav-jermaine296; fav-jkoynok; fav-mjanezic
1894,bilingual_edition,100,versetranslation00innerich,Verse translations from Greek and Latin poets; chiefly passages chosen for translation at sight;,"Innes, Arthur D. (Arthur Donald), 1863-1938","London, A.D. Innes & Co.",Classical literature -- Translations into English; Greek literature -- Translations into English; Latin literature -- Translations into English,eng; grc,https://archive.org/details/versetranslation00innerich,159 p. 20 cm; Greek or Latin and English translation on opposite pages,cdl; americana; fav-ovando
1904,bilingual_edition,100,latinhymnsinengl00vanbrich,"Latin hymns in English verse, with short biographical sketches of their authors","Van Buren, James Heartt, bp., 1850-1917","Boston, Old corner book store (inc.)","Hymns, Latin -- Translations into English",eng,https://archive.org/details/latinhymnsinengl00vanbrich,"xvii, 175 p. 21 cm; Latin and English on opposite pages",cdl; americana
1907,bilingual_edition,100,TheRuleOfStBenedict,"The Rule of St. Benedict: edited, with an English translation and explanatory notes, by D. Oswald Hunter Blair","Benedict, Saint, Abbot of Monte Cassino; Hunter Blair, David Oswald, Sir, 1853-1939, editor","London Sands & Co.; St. Louis, Mo. B. Herder",Benedictines; Benedictines -- Rules,eng; lat,https://archive.org/details/TheRuleOfStBenedict,Digitized by Google.; Latin and English on opposite pages; Description based on print version record,folkscanomy_miscellaneous; folkscanomy; fav-aidan_michael; fav-bella1963; fav-cascadiarising; fav-chapalan; fav-lisa_nicholas_ph_d; fav-nation_under_god; fav-shemthep
1912,translation,100,propertius0000prop,Propertius,"Propertius, Sextus",London : W. Heinemann ; New York : G.P. Putnam's Sons,"Propertius, Sextus. Elegiae; Elegiac poetry, Latin -- Translations into English; Elegiac poetry, Latin; Love poetry, Latin -- Translations into English; Love poetry, Latin",eng; lat,https://archive.org/details/propertius0000prop,"xvi, 362 pages ; 17 cm; ""Bibliographical note"": pages xv-xvi; Later reprints have imprint: Cambridge, Mass. : Harvard University Press ; London : W. Heinemann",claremont_school_of_theology; internetarchivebooks; fav-aru13; fav-barry_o_apos_neill; fav-osvaldorivfl1996
1912,bilingual_edition,100,propertius0000prop_s9w6,Propertius,"Propertius, Sextus","Cambridge, Mass. : Harvard University Press ; London : W. Heinemann",,eng; lat,https://archive.org/details/propertius0000prop_s9w6,"xvi, 362 pages ; 17 cm; Latin and English on opposite pages; Includes index; ""Bibliographical note"": p. xv-xvi",internetarchivebooks; fav-chapalan; fav-lindakb759
1913,bilingual_edition,100,terence00unkngoog,Terence,"Terence; Sargeaunt, John, 1857-1922","Cambridge, MA : Harvard University Press ; London : W. Heinemann",,eng; lat,https://archive.org/details/terence00unkngoog,"Book digitized by Google and uploaded to the Internet Archive by user tpb.; Latin text and English translations on parallel pages; Bibliography : v.1, p. xiii; I. The lady of Andros. The self-tormentor. The eunuch. -- II. Phormio ; The mother-in-law. The brothers; 31",americana; fav-cookiemonsta; fav-egopro; fav-shmhz72; fav-sistar_soul
1914,bilingual_edition,100,caesarcivilwarsw0000caes,"Caesar. The civil wars, with an English translation by A. G. Peskett","Caesar, Julius","London, W. Heinemann; New York, Macmillan","Rome -- History -- Civil War, 49-45 B.C",eng; lat,https://archive.org/details/caesarcivilwarsw0000caes,"x, 369 p. 17 cm; Latin and English on facing pages; Bibliography: p.x",internetarchivebooks; fav-lucas_vermeir
1915,translation,100,letters0002plin,Letters,"Pliny, the Younger, author",London : W. Heinemann ; New York : Macmillan,"Pliny, the Younger -- Correspondence; Pliny, the Younger; Latin letters -- Translations into English; Latin letters",eng; lat,https://archive.org/details/letters0002plin,"2 volumes ; 17 cm; Melmonth's translation of Pliny's Letters, was first pub. in 1746. Pliny, the Younger is also know as Plinius Caecilius Secundus, Gaius; Later reprints have imprint: Cambridge, Mass. : Harvard University Press ; London : W. Heinemann; Includes indexes; v.1. Book I-VI.--v. 2. Book VII-X; commitment to retain 20151208",internetarchivebooks; fav-alain_normandin_yahoo_com; fav-amsii; fav-antonyliber; fav-fahimshik_emel; fav-jennieval; fav-kapka2592; fav-l348gmz; fav-marivsmagnvm; fav-rog_rio_ara_jo249; fav-windy_meadow; fav-xerostomatica2023; openlibrary-d-ol
1916,bilingual_edition,100,pangelinguabrevi00cathrich,Pange lingua : breviary hymns of old uses,"Catholic Church; McDougall, Alan Gordon",London : Burns & Oates,"Catholic Church; Hymns, Latin; Hymns, Latin -- Translations into English; Hymns, English -- Translations from Latin",eng,https://archive.org/details/pangelinguabrevi00cathrich,"xxxix, 83 p. ; 24 cm; Latin and English text on opposite pages",cdl; americana; fav-monachusignotus; fav-mutumnomen; fav-raul_orlando_arreguin_rosales; fav-rmcp
1917,bilingual_edition,100,gallicwar0000caes_m4b4,The Gallic war,"Caesar, Julius","Cambridge, Mass. : Harvard University Press ; London : W. Heinemann","Gaul -- History -- Gallic Wars, 58-51 B.C",lat; eng,https://archive.org/details/gallicwar0000caes_m4b4,"xxii, 619 pages, 8 unnumbered folded leaves of plates : 17 cm; Issued with various printing dates; Latin and English on opposite pages; Includes indexes",internetarchivebooks; fav-rog_rio_ara_jo249
1917,bilingual_edition,100,gallicwar00caes,The Gallic war,"Caesar, Julius; Edwards, H. J. (Henry John), 1869-1923","Cambridge, Mass. : Harvard University Press ; London : W. Heinemann","Gaul--History--Gallic Wars, 58-51 B.C.",lat; eng,https://archive.org/details/gallicwar00caes,"xxii, 619 p., [8] folded leaves of plates, maps ; 17 cm. Latin and English on opposite pages.",rutgersuniversitylibraries; americana; fav-aeroman333; fav-airegin; fav-aj_rrr; fav-amg0959; fav-andreia_1933; fav-associate-christian-mccusker_archive_org; fav-brutus_of_troy; fav-c-137q7; fav-caro_camundongo; fav-chapalan; fav-dhgulick; fav-egopro; fav-esmerelda24; fav-finnigan_terwilliger; fav-harpocrates887; fav-hypercube8; fav-jackie_vellum; fav-javier_fern_ndez; fav-kat663; fav-kiabah_joe; fav-kumanoko; fav-kyra192000; fav-leito144; fav-lifelonglearner2021; fav-lionheart1157; fav-ljgrace96; fav-lucas_vermeir; fav-marky_mark463; fav-mchim; fav-medaya89; fav-mester-_world; fav-muteevery; fav-nfbrennan84; fav-perrywallace1965; fav-pinsnneedles; fav-pursuerofknowledge; fav-red_sailed_ships; fav-salomander; fav-serra08; fav-shark2cool; fav-shivansh_sikarwar; fav-sr_matheus_batista; fav-tarfie; fav-tg14; fav-theo_perrott; fav-xerostomatica2023; fav-yanis_rotge
1919,bilingual_edition,100,goldenassbeingme0000apul_i0q5,The golden ass; being the Metamorphoses of Lucius Apuleius,Apuleius,"London, W. Heinemann; New York, G.P. Putnam's Sons",Latin literature; Littérature latine; 18.46 ancient Latin literature; Metamorphoses (Apuleius),eng; lat,https://archive.org/details/goldenassbeingme0000apul_i0q5,"3 preliminary leaves, v-xxiv, 607, [1] pages 17 cm; ""First printed, 1915; reprinted 1919.""; Latin and English on opposite pages; With reproduction of the t.p. of 1566 edition: The .XI. Bookes of the Golden Asse, conteininge the Metamorphosie of Lucius Apuleius ... Translated out of Latine into Englishe by VVilliam Adlington. Imprinted at London in Fleetstreate, at the signe of the Oliphante, by Henry VVykes. Anno 1566; Spelling and punctuation of the translation are modernized; Includes bibliographical references (pages xi-xii); The golden ass of Apuleius -- To the reader -- Life of Lucius Apuleius -- Preface of the author to his son",internetarchivebooks; fav-amalrik-m; fav-ancient_librarian; fav-bannerofint; fav-gastonbachelard; fav-hunterjb; fav-joe_nathan; fav-jrsalles; fav-kyle_swanson877; fav-leo_vince; fav-martinus_scriblerus732; fav-mjuninn; fav-nynnmah; fav-ptolemyxiii; fav-pursuerofknowledge; fav-swswswswsw; fav-zbenhalim
1919,bilingual_edition,100,livywithenglisht0000livy,"Livy, with an English translation",Livy,London : Heinemann; New York : Putnam,,eng; lat,https://archive.org/details/livywithenglisht0000livy,"14 v. : 17 cm; Latin and English; Vols. 6-8, 12-14 have imprint: Cambridge, Harvard University Press; v. 9-11: London, Heinemann; Cambridge, Harvard University Press; Vols. 6-8 translated by F. G. Moore; v. 9-11 by E. T. Sage; v. 12 by E. T. Sage and A. C. Schlesinger; v. 13 by A. C. Schlesinger; v. 14 by A. C. Schlesinger, with a general index to Livy by R. M. Geer; Vol. 9 rev. and reprinted 1936",internetarchivebooks; fav-aru13; fav-joe_crab_t; fav-pjconcierge
1919,bilingual_edition,100,livy06livygoog,"Livy, with an English translation",Livy,"London, Heinemann; New York, Putnam",,eng; lat,https://archive.org/details/livy06livygoog,"Book digitized by Google from the library of the New York Public Library and uploaded to the Internet Archive by user tpb.; Latin and English; Vols. 6-8, 12-14 have imprint: Cambridge, Harvard University Press; v. 9-11: London, Heinemann; Cambridge, Harvard University Press; Vols. 6-8 translated by F. G. Moore; v. 9-11 by E. T. Sage; v. 12 by E. T. Sage and A. C. Schlesinger; v. 13 by A. C. Schlesinger; v. 14 by A. C. Schlesinger, with a general index to Livy by R. M. Geer",americana; fav-abeldelgadogonzalezbueno_gmail_com
1919,bilingual_edition,100,epigramswithane00kergoog,"Epigrams, with an English translation",Martial,"London, W. Heinemann; New York, G.P. Putnam's Sons",Epigrams,eng; lat,https://archive.org/details/epigramswithane00kergoog,"Book digitized by Google from the library of University of Michigan and uploaded to the Internet Archive by user tpb.; 2 volumes 17 cm; At head of title: Martial; Latin and English on opposite pages; Includes bibliographical references (v. 1, pages xix-xxii)",americana; fav-tirumala_reddy
