source,series,author,english_title,original_title,translator,pub_year,place,publisher,country,original_year,era,canonical_author,canonical_work
UNESCO Index Translationum,,"Agrippa von Nettesheim, Heinrich Cornelius","Henry Cornelius Agrippa, his fourth book of occult philosophy",,"Turner, Robert",1978,London,Askin Publishers,United Kingdom,1531,renaissance,Henry Cornelius Agrippa,Three Books of Occult Philosophy
UNESCO Index Translationum,,Aldhelm,The prose works,,"Herren, Michael; Lapidge, Michael",1979,Ipswich,Brewer,United Kingdom,709,medieval,Aldhelm,Prose Works
UNESCO Index Translationum,,Augustinus Aurelius,The confessions of Augustine in modern English,,"Wirt, Sherwood Eliot",1978,Tring,Lion Publishing,United Kingdom,400,classical,Augustine of Hippo,Confessions
UNESCO Index Translationum,,Augustinus Aurelius,The confessions of St Augustine,,"Sheed, F. J.",1978,London,Sheed &amp; Ward,United Kingdom,400,classical,Augustine of Hippo,Confessions
UNESCO Index Translationum,,"Calvin, Jean",Concerning scandals,,"Fraser, John W.",1978,Edinburgh,St Andrew Press,United Kingdom,1550,renaissance,Jean Calvin,Concerning Scandals
UNESCO Index Translationum,,Guigues II,"The ladder of monks: a letter on the comtemplative life, and, Twelve meditations",,"Colledge, Edmund; Walsh, James",1978,London,Mowbrays,United Kingdom,1150,medieval,Guigues II,Scala Claustralium
UNESCO Index Translationum,,"Harvey, William",Disputations concerning the generation of animals,Exercitationes de generatione animalium,,1978,Oxford,Blackwell,United Kingdom,1651,early_modern,William Harvey,Exercitationes de Generatione Animalium
UNESCO Index Translationum,,"Horatius Flaccus, Quintus",Three odes of Horace,Odas,"Shepherd, Bill",1977,London,Many Press,United Kingdom,-23,classical,Horace,Odes
UNESCO Index Translationum,,Justinianus I,"The digest of Roman law: theft, rapine, damage and insult",,"Kolbert, C. F.",1979,Harmondsworth,Penguin,United Kingdom,535,classical,Justinian I,Digest
UNESCO Index Translationum,,"Hobbes, Thomas",Man and citizen; Philosophical rudiments concerning government and society,De homine; De cive,"Hobbes, Thomas; Wood, Charles T.; et al.",1978,Hassocks,Harvester Press,United Kingdom,1658,early_modern,Thomas Hobbes,De Corpore Politico / Philosophical Rudiments
UNESCO Index Translationum,,"Francesco d'Assisi, Otto; et al.; Karrer","The little flowers, legends, and lauds",,"Wydenbruck, N.",1979,London,Sheed &amp; Ward,United Kingdom,1260,medieval,Francis of Assisi,The Little Flowers
UNESCO Index Translationum,,"Orosius, Paulus",The Old English Orosius,,,1979,London,Oxford University Press,United Kingdom,417,classical,Paulus Orosius,Historia Adversum Paganos
UNESCO Index Translationum,,Catholica Romana Ecclesia; International Commission on English in the Liturgy,The ordination of priests,,,1979,London,Catholic Truth Society,United Kingdom,1983,modern,Catholic Church,Ordination of Priests - Rite
UNESCO Index Translationum,,Catholica Romana Ecclesia; International Commission on English in the Liturgy,Rite of Christian initiation of adults: approved for use in the dioceses of England and Wales,,,1978,London,Catholic Truth Society,United Kingdom,1988,modern,Catholic Church,Rite of Christian Initiation of Adults
UNESCO Index Translationum,,Joannes Paulus II,Encyclical &quot;Redemptor Hominis&quot;,,,1979,London,Catholic Truth Society,United Kingdom,1979,modern,Pope John Paul II,Redemptor Hominis
UNESCO Index Translationum,,Pius XI,"Atheistic Communism: encyclical letter of Pope Pius XI &quot;Divini redemptoris&quot;, 1937",,"Kirwan, Joseph",1978,London,Catholic Truth Society,United Kingdom,1937,modern,Pope Pius XI,Divini Redemptoris
UNESCO Index Translationum,,Saxo Grammaticus,The history of the Danes (1:) English tex,,,1979,Ipswich,Brewer,United Kingdom,1220,medieval,Saxo Grammaticus,Gesta Danorum
UNESCO Index Translationum,,"Suetonius Tranquillus, Caius",The twelve Caesars,,"Graves, Robert",1979,Harmondsworth,Penguin,United Kingdom,121,classical,Suetonius,De Vita Caesarum
UNESCO Index Translationum,,Thomas à Kempis,The imitation of Christ,De imitatione Christi,,1979,London,Hodder and Stoughton,United Kingdom,1420,medieval,Thomas à Kempis,Imitatio Christi
UNESCO Index Translationum,,"Copernicus, Nicolaus",Complete works (2:) On the revolutions,,"Rosen, Edward",1978,London,Macmillan,United Kingdom,1543,renaissance,Nicolaus Copernicus,De Revolutionibus Orbium Coelestium
UNESCO Index Translationum,,"Vergilius Maro, Publius",The eclogues,Eclogae,"Campbel-Kease, John",1979,Hay-on Wye,Other Poetry,United Kingdom,-29,classical,Virgil,Eclogues
UNESCO Index Translationum,,"Weber, Ernst Heinrich",The sense of touch,De tactu: de subtilitate tactus,,1978,London,Academic Press for the Experimental PsychologySociety,United Kingdom,1834,modern,Ernst Heinrich Weber,The Sense of Touch
UNESCO Index Translationum,,"Plinius Caecilius Secundus, Caius",Pliny: a selection of his letters,Epistulae,"Greig, Clarence",1978,Cambridge,Cambridge University Press,United Kingdom,100,classical,Pliny the Younger,Letters
UNESCO Index Translationum,,Bonaventura,The miroure of the Blessed Life,,,1978,Ilkley,Scolar,United Kingdom,1262,medieval,Bonaventure,Speculum Beatae Virginis
UNESCO Index Translationum,,Richard of Saint Victor,The twelve patriarchs; The mystical ark; Book three of the Trinity,,"Zinn, Grover A.",1979,London,S.P.C.K.,United Kingdom,1162,medieval,Richard of Saint Victor,De Duodecim Patriarchis
UNESCO Index Translationum,,"Benoit, René; Lancicius, Nicholas; Mush, John",The necessare and assurit way to pluk awa all discord; An abstract of the life of Mistres Margaret Clitherowe; The glory of ... S. Ignatius,,"Winzet, Niniane",1979,Ilkley,Scolar,United Kingdom,1609,early_modern,Various Authors,Miscellaneous Religious Texts
UNESCO Index Translationum,,"Lesage, Germain; Morrisey, Francis G.","Selected texts from Documentation on marriage nullity cases, etc.",,"Hudson, J. Edward",1976,Ottawa,Saint Paul University,Canada,1982,modern,Various Authors,Marriage Nullity Cases Documentation
UNESCO Index Translationum,,"Horatius Flaccus, Quintus",Odes of Horace,Carmina,,1979,Canberra,Australian National University,Australia,-23,classical,Horace,Odes
UNESCO Index Translationum,,"Ames, William F.",Technometry,Guilielmi Amesii Technometria,"Gibbs, Lee W.",1979,"Philadelphia, PA",University of Pennsylvania Press,United States of America,1627,early_modern,William Ames,Technometry
UNESCO Index Translationum,,Bernard de Clairvaux,"The life and death of Saint Malachy, the Irishman",,"Meyer, Robert T.",1978,"Kalamazoo, MICH",Cistercian Publications,United States of America,1150,medieval,Bernard of Clairvaux,Life of Saint Malachy
UNESCO Index Translationum,,"Nichols, Fred J.",An anthology of neo-Latin poetry,,"Nichols, Fred J.",1979,"New Haven, CONN",Yale University Press,United States of America,1965,modern,Fred J. Nichols (ed.),Anthology of Neo-Latin Poetry
UNESCO Index Translationum,,"Lactantius, Lucius Caecilius Firmianus; et al.","Apocalyptic spirituality: treatises and letters of Lactantius, Adso of Montieren-Der, Joachim of Fiore, the Franciscan spirituals, Savonarola",,"McGinn, Bernard",1979,New York,Paulist Press,United States of America,320,classical,Lactantius,Apocalyptic Writings
UNESCO Index Translationum,,Anselmus Cantuariensis; Gaunilo,St. Anselm's Proslogion; A reply on behalf of the fool,Proslogion; Liber pro insipiente,"Charlesworth, Maxwell John",1979,"Notre Dame, IND",University of Notre Dame Press,United States of America,1078,medieval,Anselm of Canterbury,Proslogion
UNESCO Index Translationum,,"Calvin, Jean",Concerning scandals,De scandalis,"Fraser, John W.",1978,"Grand Rapids, MICH",W.B. Eerdmans,United States of America,1550,renaissance,Jean Calvin,Concerning Scandals
UNESCO Index Translationum,,"Calvin, Jean",Sermons from Job,,"LeRoy, Nixon",1979,"Grand Rapids, MICH",Baker Book House,United States of America,1574,renaissance,Jean Calvin,Sermons from Job
UNESCO Index Translationum,,"Erasmus, Desiderius",The praise of folly,Moriae encomium,"Miller, Clarence H.",1979,"New Haven, CONN",Yale University Press,United States of America,1509,renaissance,Desiderius Erasmus,Moriae Encomium
UNESCO Index Translationum,,"Erasmus, Desiderius",Literary and educational writings,,,1978,"Buffalo, N.Y.",University of Toronto Press,United States of America,1530,renaissance,Desiderius Erasmus,Educational Writings
UNESCO Index Translationum,,"Cicero, Marcus Tullius",Cicero's letters to Atticus,Epistolae ad Atticum,"Bailey, David",1978,New York,Penguin,United States of America,-50,classical,Cicero,Letters to Atticus
UNESCO Index Translationum,,"Cicero, Marcus Tullius",Cicero's letters to his friends,,"Bailey, David",1978,New York,Penguin,United States of America,-50,classical,Cicero,Letters to His Friends
UNESCO Index Translationum,,"Cicero, Marcus Tullius",The poems of Cicero,De consulatu and Marius,,1978,New York,Garland,United States of America,-50,classical,Cicero,Poems
UNESCO Index Translationum,,"Copernicus, Nicolaus",On the revolutions,De revolutionibus orbium coelestium,"Rosen, Edward",1978,"Baltimore, MD",Johns Hopkins University Press,United States of America,1543,renaissance,Nicolaus Copernicus,De Revolutionibus Orbium Coelestium
UNESCO Index Translationum,,"Cumberland, Richard","A treatise of the laws of nature, 1727",De legibus naturae,,1978,New York,Garland,United States of America,1727,early_modern,Richard Cumberland,A Treatise of the Laws of Nature
UNESCO Index Translationum,,Catholica Romana Ecclesia; International Commission on English in the Liturgy,The rites of the Catholic Church as revised by decree of the Second Vatican Ecumenical Council and published by authority of Pope Paul VI,,,1978,New York,Pueblo Pub. Co.,United States of America,1973,modern,Catholic Church,Roman Missal (Post-Vatican II)
UNESCO Index Translationum,,"Descartes, René",Meditations on first philosophy: in which the existence of God and the distinction of the soul from the body are demonstrated,Meditationes de prima philosophia,"Cress, Donald A.",1979,"Indianapolis, IND",Hackett,United States of America,1641,early_modern,René Descartes,Meditationes de Prima Philosophia
UNESCO Index Translationum,,Catholica Romana Ecclesia,Humanae vitae: encyclical letter of his Holiness Pope Paul VI,Humanae vitae,"Caligari, Marc",1978,"San Francisco, CALIF",Ignatius Press,United States of America,1968,modern,Pope Paul VI,Humanae Vitae
UNESCO Index Translationum,,Gildas,"The ruin of Britain, and other works",Liber querulus de excidio Britanniae,"Winterbottom, Michael",1978,"Totowa, N.J.",Rowman and Littlefield,United States of America,547,medieval,Gildas,De Excidio Britanniae
UNESCO Index Translationum,,Aldhelm,"Aldhelm, the prose works",,"Herren, Michael; Lapidge, Michael",1979,"Totowa, N.J.",Rowman and Littlefield,United States of America,709,medieval,Aldhelm,Prose Works
UNESCO Index Translationum,,Giraldus Cambrensis,The journey through Wales and The description of Wales,Itinerarium Cambriae,"Thorpe, Lewis",1978,New York,Penguin,United States of America,1191,medieval,Giraldus Cambrensis,Itinerarium Cambriae / Descriptio Cambriae
